LW01	A heavy crescent cleaver-sword with inward-hooked fang tip, deep spine recess and spiral-forged ridges converging at a bronze vortex boss. Blackened iron, chipped silver edge, oxblood leather grip. Diagonal, hilt low left, point high right.
LW02	A compact overlapping pair of broad heavy sabatons with meteor-shaped raised shin plates, thick stepped impact soles and pale pitted star-metal toe caps. Ash iron and muted bronze. The downward-pointed shin ridges convey a falling impact without a drawn shockwave.
LW03	A compact overlapping pair of executioner's gauntlets, one dominant clenched fist with a single immense squared knuckle block and severe straight-cut cuff. Dark steel, bone-pale striking face and restrained crimson leather seams. Emphasize one concentrated crushing point.
LW04	A tangible chain necklace bearing a broken iron command whistle held within a protective angular bronze chevron, a single garnet rivet at its repaired break. Short chain forms a readable inverted teardrop outline. Survival and a renewed leap suggested through repaired hardware.
LC01	A thick watchman's finger ring with a hooded lantern-shaped bezel, small amber glass lens and a wide swept-back steel band resembling grasping talons. One ring at three-quarter angle with a fully transparent central opening; no separate lantern.
LC02	A chain necklace with three linked hammered silver clasps converging into one closed bronze lock pendant. Three inward folds become one reserved central stone. Compact tangible jewelry representing discipline and a stored resource saving.
LC03	A curved wide dark leather belt with a substantial iron heart-shaped reliquary buckle, protective ribs around a glowing but contained deep red glass core, and one attached small potion-holder loop. Entire belt forms a single compact equipment silhouette.
LW05	A two-handed double-ended war axe with opposed inward-curving heavy blades around a thick central spindle and an iron cage-like guard. Distinct wheel-balanced weapon structure, tarnished steel and dull brass, short enough to read in a square icon; no actual execution rack.
LW06	A compact pair of armored gauntlets with broad rising stepped knuckle plates and a deep red cabochon embedded near each wrist; flared cuffs like banked furnaces. Heavy dark steel and burgundy leather suggest pent-up fury, no external flame.
LW07	A long narrow hooked falchion with three deep irregular cutting notches along the outer edge and swept fin-like crossguard. Pale worn steel blade, black leather hilt and dried copper-red grooves. Emphasize slicing wind through the sweeping blade silhouette, no wind effect.
LW08	A wearable crimson-black breastplate with four broad overlapping fortress-like chest ribs, squared shoulders and a heavy solid protective center. Blood-red enamel is chipped to iron at the edges. Empty neck and arm openings, no wearer.
